strain	date	url	S1_mutations	country	host	mutational_fitness	genbank_accession	emerging_lineage	division	region	pango_lineage	recency	epiweek	current_frequency	clade_membership	author	accession	originating_lab	submitting_lab	logistic_growth	cazzo
USA/AK-PHL8411/2021	4/26/2021		6	USA	Homo sapiens	0.39	MZ927048		Alaska	North America	B.1.1.7	Older	202117		"20I (Alpha, V1)"	DeRonde et al G					cazzo
USA/MN-MDH-8718/2021	6/30/2021		6	USA	Homo sapiens	0.38	MZ654847		Minnesota	North America	B.1.1.7	Older	202126		"20I (Alpha, V1)"	Lorentz et al C					cazzo
USA/AL-UAB-GX203/2021	4/18/2021		6	USA	Homo sapiens	0.4	MZ501443		Alabama	North America	B.1.1.7	Older	202116		"20I (Alpha, V1)"	Moates et al A					cazzo
USA/CO-CDC-MMB09102443/2021	6/8/2021		6	USA	Homo sapiens	0.39	MZ532723		Colorado	North America	B.1.1.7	Older	202123		"20I (Alpha, V1)"	Howard et al ER					cazzo
USA/SD-CDC-ASC210069063/2021	4/12/2021		7	USA	Homo sapiens	0.38	MZ213871		South Dakota	North America	B.1.1.7	Older	202115		"20I (Alpha, V1)"	Howard et al ES					cazzo
USA/WV-CDC-LC0060027/2021	5/15/2021		6	USA	Homo sapiens	0.4	MZ306788		West Virginia	North America	B.1.1.7	Older	202119		"20I (Alpha, V1)"	Howard et al ET					cazzo
Estonia/Cov10934/2021	3/22/2021		6	Estonia	Homo sapiens	0.39	OU370830		Pärnu	Europe	B.1.1.7	Older	202112		"20I (Alpha, V1)"	Avi et al E			"Institute of Biomedicine and Translational Medicine, University of Tartu"		cazzo
OU793791	1/31/2021		6	United Kingdom	Homo sapiens	0.35	OU793791		England	Europe	B.1.1.7	Older	202105		"20I (Alpha, V1)"	? AH		Quadram Institute Bioscience	Quadram Institute Bioscience		cazzo
TWN/CGMH-CGU-58/2021	3/1/2021		6	Taiwan	Homo sapiens	0.35	MZ277391		Taiwan	Asia	B.1.1.7	Older	202109		"20I (Alpha, V1)"	Tsao et al O					cazzo
USA/DE-CDC-ASC210003395/2021	3/9/2021		7	USA	Homo sapiens	0.35	MW904933		Delaware	North America	B.1.1.7	Older	202110		"20I (Alpha, V1)"	Howard et al EU					cazzo
IRL/AIIDW008/2020	12/21/2020		6	Ireland	Homo sapiens	0.34	ON350867		Dublin	Europe	B.1.1.7	Older	202052		"20I (Alpha, V1)"	O Reilly et al D					cazzo
Estonia/Cov11443/2021	4/1/2021		6	Estonia	Homo sapiens	0.32	OU278199		Tartu	Europe	B.1.1.7	Older	202113		"20I (Alpha, V1)"	Avi et al F			"Institute of Biomedicine and Translational Medicine, University of Tartu"		cazzo
NOR/Bergen-03/2021	2/11/2021		6	Norway	Homo sapiens	0.34	OM616632		Vestland	Europe	B.1.1.7	Older	202106		"20I (Alpha, V1)"	Zhou et al C					cazzo
ITA/PA_PC2021_2274/2021	1/9/2021		6	Italy	Homo sapiens	0.35	MW491232		Italy	Europe	B.1.1.7	Older	202101		"20I (Alpha, V1)"	Reale et al					cazzo
USA/RI-CDC-QDX24758685/2021	5/7/2021		7	USA	Homo sapiens	0.35	MZ319354		Rhode Island	North America	B.1.1.7	Older	202118		"20I (Alpha, V1)"	Howard et al EV					cazzo
TGO/nmimr-TG-SARS-CoV-2-TGS-035-21/2021	1/30/2021		7	Togo	Homo sapiens	0.35	MZ149972		Togo	Africa	B.1.1.7	Older	202104		"20I (Alpha, V1)"	Halatoko et al E					cazzo
USA/VT-CDC-ASC210018330/2021	3/24/2021		6	USA	Homo sapiens	0.35	MW993410		Vermont	North America	B.1.1.7	Older	202112		"20I (Alpha, V1)"	Howard et al EW					cazzo
USA/VT-CDC-QDX24155571/2021	4/19/2021		6	USA	Homo sapiens	0.35	MZ161371		Vermont	North America	B.1.1.7	Older	202116		"20I (Alpha, V1)"	Howard et al EX					cazzo
NLD/Rotterdam-UK1/2020	12/19/2020		6	Netherlands	Homo sapiens	0.41	MW947280		Netherlands	Europe	B.1.1.7	Older	202051		"20I (Alpha, V1)"	Beumer et al					cazzo
NLD/22008404/2021	5/19/2021		5	Netherlands	Homo sapiens	0.36	OL548845		Netherlands	Europe	B.1.1.7	Older	202120		"20I (Alpha, V1)"	Rumke et al C					cazzo
Pakistan/UHS2-Pak-49/2021	5/26/2021		6	Pakistan	Homo sapiens	0.4	OU600506		Pakistan	Asia	B.1.1.7	Older	202121		"20I (Alpha, V1)"	Tiwari et al C		University of Health Sciences	Quadram Institute Bioscience		cazzo
Liechtenstein/UHB-4209185301/2021	6/10/2021		7	Liechtenstein	Homo sapiens	0.41	OU351901		Schaan	Europe	B.1.1.7	Older	202123		"20I (Alpha, V1)"	? AM		"Labormedizinisches Zentrum Dr Risch, Liebefeld, Switzerland"	University Hospital Basel		cazzo
TUR/ERAGEM-ALP-1102/2021	3/11/2021		6	Turkey	Homo sapiens	0.41	OM944237		Kayseri	Europe	B.1.1.7	Older	202110		"20I (Alpha, V1)"	Ozdarendeli et al B					cazzo
USA/AK-PHL7694/2021	3/21/2021		6	USA	Homo sapiens	0.44	MZ246513		Alaska	North America	B.1.1.7	Older	202112		"20I (Alpha, V1)"	DeRonde et al H					cazzo
BRA/GO-DNAGYN-25/2021	2/3/2021		6	Brazil	Homo sapiens	0.44	ON148300		Goiás	South America	B.1.1.7	Older	202105		"20I (Alpha, V1)"	Sobreiro et al J					cazzo
BRA/PR-HF279/2021	4/10/2021		6	Brazil	Homo sapiens	0.45	MZ477786		Paraná	South America	B.1.1.7	Older	202114		"20I (Alpha, V1)"	Oliveira et al L					cazzo
BRA/GO-DNAGYN-29/2021	2/3/2021		6	Brazil	Homo sapiens	0.45	ON148301		Goiás	South America	B.1.1.7	Older	202105		"20I (Alpha, V1)"	Sobreiro et al K					cazzo
BRA/GO-DNAGYN-48/2021	2/20/2021		5	Brazil	Homo sapiens	0.42	ON148302		Goiás	South America	B.1.1.7	Older	202107		"20I (Alpha, V1)"	Sobreiro et al L					cazzo
Switzerland/GE-33195657/2021	2/6/2021		6	Switzerland	Homo sapiens	0.39	FR991712		Geneva	Europe	B.1.1.7	Older	202105		"20I (Alpha, V1)"	? AN		"Laboratoire de virologie,Rue Gabrielle Perret-Gentil 4, Geneva"	HUG		cazzo
Scotland/QEUH-14FB10E/2021	4/12/2021		6	United Kingdom	Homo sapiens	0.41	OU257984		Scotland	Europe	B.1.1.7	Older	202115		"20I (Alpha, V1)"	VanSteenhouse et al A		Lighthouse Lab in Glasgow	Wellcome Sanger Institute		cazzo
AUT/SKV-108/2021	3/26/2021		7	Austria	Homo sapiens	0.44	OL549098		Upper Austria	Europe	B.1.1.7	Older	202112		"20I (Alpha, V1)"	Puehringer et al H					cazzo
OU101105	3/16/2021		6	Germany	Homo sapiens	0.41	OU101105		Berlin	Europe	B.1.1.7	Older	202111		"20I (Alpha, V1)"	? A		"MDI Limbach Berlin GmbH, 13407 Berlin"	Robert Koch Institute		cazzo
Liechtenstein/FL-Risch-2142208079/2021	4/22/2021		6	Liechtenstein	Homo sapiens	0.41	OU578790		Liechtenstein	Europe	B.1.1.7	Older	202116		"20I (Alpha, V1)"	? AO		"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs"	Dr. Risch		cazzo
Liechtenstein/UHB-4181115401/2021	1/26/2021		6	Liechtenstein	Homo sapiens	0.39	OU269344		Liechtenstein	Europe	B.1.1.7	Older	202104		"20I (Alpha, V1)"	? AP		"Labormedizinisches Zentrum Dr Risch, Liebefeld, Switzerland"	University Hospital Basel		cazzo
Liechtenstein/UHB-4182376401/2021	2/1/2021		6	Liechtenstein	Homo sapiens	0.38	OU269214		Vaduz	Europe	B.1.1.7	Older	202105		"20I (Alpha, V1)"	? AQ		"Labormedizinisches Zentrum Dr Risch, Liebefeld, Switzerland"	University Hospital Basel		cazzo
KEN/SS406/2021	4/29/2021		6	Kenya	Homo sapiens	0.43	OK488063		Kenya	Africa	B.1.1.7	Older	202117		"20I (Alpha, V1)"	Githinji et al BK					cazzo
OU476044	4/9/2021		6	Slovakia	Homo sapiens	0.36	OU476044		Slovakia	Europe	B.1.1.7	Older	202114		"20I (Alpha, V1)"	? O		"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia"	"Laboratory of Genomics and Bioinformatics, Comenius University Science Park"		cazzo
OU475498	5/20/2021		6	Slovakia	Homo sapiens	0.45	OU475498		Slovakia	Europe	B.1.1.7	Older	202120		"20I (Alpha, V1)"	? O		"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia"	"Laboratory of Genomics and Bioinformatics, Comenius University Science Park"		cazzo
OU195555	5/14/2021		6	Germany	Homo sapiens	0.43	OU195555		Baden-Wuerttemberg	Europe	B.1.1.7	Older	202119		"20I (Alpha, V1)"	? A		"Limbach - MVZ Humangenetik Ulm, Karlstraße 31; 89073 Ulm"	Robert Koch Institute		cazzo
NLD/2506775__2019-nCoV/2021	6/16/2021		6	Netherlands	Homo sapiens	0.43	OK356635		Netherlands	Europe	B.1.1.7	Older	202124		"20I (Alpha, V1)"	Rumke et al D					cazzo
Pantheraleopersica/CZE/3855-1/2021	2/25/2021		6	Czech Republic	Panthera leo persica	0.43	OL752444		Czech Republic	Europe	B.1.1.7	Older	202108		"20I (Alpha, V1)"	Nagy et al A					cazzo
Gorillagorillagorilla/CZE/4243-6/2021	3/3/2021		6	Czech Republic	Gorilla gorilla gorilla	0.43	OL752441		Czech Republic	Europe	B.1.1.7	Older	202109		"20I (Alpha, V1)"	Nagy et al B					cazzo
AUT/SKV-181/2021	5/12/2021		6	Austria	Homo sapiens	0.43	OL546785		Upper Austria	Europe	B.1.1.7	Older	202119		"20I (Alpha, V1)"	Puehringer et al I					cazzo
Denmark/DCGC-120929/2021	6/7/2021		6	Denmark	Homo sapiens	0.43	OV579333		Syddanmark	Europe	B.1.1.7	Older	202123		"20I (Alpha, V1)"	Danish Covid-19 Genome et al		"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark"	statens serum institut and the danish covid19 genome consortium (dcgc)		cazzo
IND/AIIMS-Bhopal-Sample29/2021	3/8/2021		6	India	Homo sapiens	0.41	MZ723922		Madhya Pradesh	Asia	B.1.1.7	Older	202110		"20I (Alpha, V1)"	Singh et al B					cazzo
SAU/SARS-CoV-2_KFSHRC8/2021	4/15/2021		6	Saudi Arabia	Homo sapiens	0.41	MZ208928		Saudi Arabia	Asia	B.1.1.7	Older	202115		"20I (Alpha, V1)"	Alhamlan F et al					cazzo
NZL/21CH0042/2021	6/14/2021		7	New Zealand	Homo sapiens	0.42	OK433390		New Zealand	Oceania	B.1.1.7	Older	202124		"20I (Alpha, V1)"	Ren et al CA		Canterbury Health Laboratories	Institute of Environmental Science and Research		cazzo
PHL/COVID53359/2021	3/20/2021		6	Philippines	Homo sapiens	0.41	MZ068153		Manila	Asia	B.1.1.7	Older	202111		"20I (Alpha, V1)"	Velasco et al F					cazzo
PHL/210518-8/2021	5/17/2021		6	Philippines	Homo sapiens	0.41	OL989091		Philippines	Asia	B.1.1.7	Older	202120		"20I (Alpha, V1)"	Zhao et al M					cazzo
KHM/B117/2021	3/16/2021		6	Cambodia	Homo sapiens	0.41	MZ361696		Cambodia	Asia	B.1.1.7	Older	202111		"20I (Alpha, V1)"	Bohl et al					cazzo
THA/CONI-1321/2021	6/2/2021		6	Thailand	Homo sapiens	0.41	ON909410		Tak	Asia	B.1.1.7	Older	202122		"20I (Alpha, V1)"	Batty et al P					cazzo
THA/CONI-0716/2021	4/23/2021		6	Thailand	Homo sapiens	0.41	ON891715		Bangkok	Asia	B.1.1.7	Older	202116		"20I (Alpha, V1)"	Batty et al Q					cazzo
THA/CONI-0807/2021	5/11/2021		6	Thailand	Homo sapiens	0.41	ON891960		Songkhla	Asia	B.1.1.7	Older	202119		"20I (Alpha, V1)"	Batty et al R					cazzo
Lebanon/QIB-894/2021	5/3/2021		7	Lebanon	Homo sapiens	0.41	OU608385		Lebanon	Asia	B.1.1.7	Older	202118		"20I (Alpha, V1)"	Tiwari et al D		Laboratory of Molecular Biology and Cancer Immunology	Quadram Institute Bioscience		cazzo
PHL/PH-PGC-00315/2020	12/29/2020		6	Philippines	Homo sapiens	0.42	MW735407		Philippines	Asia	B.1.1.7	Older	202053		"20I (Alpha, V1)"	Tablizo et al B					cazzo
Lebanon/QIB-825/2021	4/20/2021		7	Lebanon	Homo sapiens	0.41	OU599605		Lebanon	Asia	B.1.1.7	Older	202116		"20I (Alpha, V1)"	Tiwari et al E		Laboratory of Molecular Biology and Cancer Immunology	Quadram Institute Bioscience		cazzo
EGY/CCHE57357_Wave_3_A057/2021	3/20/2021		5	Egypt	Homo sapiens	0.33	MZ380278		Egypt	Africa	B.1.1.7	Older	202111		"20I (Alpha, V1)"	Hatem et al N					cazzo
Denmark/DCGC-125252/2021	4/21/2021		7	Denmark	Homo sapiens	0.44	OV914481		Denmark	Europe	B.1.1.7	Older	202116		"20I (Alpha, V1)"	Danish Covid-19 Genome et al		"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark"	statens serum institut and the danish covid19 genome consortium (dcgc)		cazzo
Denmark/DCGC-120755/2021	5/31/2021		7	Denmark	Homo sapiens	0.45	OV915141		Midtjylland	Europe	B.1.1.7	Older	202122		"20I (Alpha, V1)"	Danish Covid-19 Genome et al		"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark"	statens serum institut and the danish covid19 genome consortium (dcgc)		cazzo
FRA/IHUCOVID-009642_Illu1/2021	5/19/2021		6	France	Homo sapiens	0.43	ON284807		France	Europe	B.1.1.7	Older	202120		"20I (Alpha, V1)"	Levasseur et al R					cazzo
EGY/Third-Wave-EGY-ARMY27/2021	4/9/2021		4	Egypt	Homo sapiens	0.31	MZ042988		Egypt	Africa	B.1.1.7	Older	202114		"20I (Alpha, V1)"	Seadawy et al I					cazzo
ARM/IMB2-1/2021	1/27/2021		6	Armenia	Homo sapiens	0.41	MZ577125		Armenia	Asia	B.1.1.7	Older	202104		"20I (Alpha, V1)"	Pavitra et al					cazzo
USA/OR-CDC-LC0084996/2021	6/22/2021		6	USA	Homo sapiens	0.42	MZ555129		Oregon	North America	B.1.1.7	Older	202125		"20I (Alpha, V1)"	Howard et al EY		Laboratory Corporation of America	CDC-OAMD		cazzo
Lebanon/QIB-544/2021	3/11/2021		6	Lebanon	Homo sapiens	0.42	OU609531		Lebanon	Asia	B.1.1.7	Older	202110		"20I (Alpha, V1)"	Tiwari et al F		Laboratory of Molecular Biology and Cancer Immunology	Quadram Institute Bioscience		cazzo
KEN/SS2930/2021	1/18/2021		6	Kenya	Homo sapiens	0.42	OL548976		Kenya	Africa	B.1.1.7	Older	202103		"20I (Alpha, V1)"	Githinji et al BL					cazzo
BGD/ideSHi-B-302502004/2021	2/25/2021		7	Bangladesh	Homo sapiens	0.38	MZ413982		Dhaka	Asia	B.1.1.7	Older	202108		"20I (Alpha, V1)"	Afrad et al E					cazzo
NGA/BCVL-25699/2021	4/19/2021		7	Nigeria	Homo sapiens	0.44	OL601856		Oyo State	Africa	B.1.1.7	Older	202116		"20I (Alpha, V1)"	Lorenzo-Redondo et al AD					cazzo
KEN/CBRD_1079967/2021	3/17/2021		6	Kenya	Homo sapiens	0.41	OP001481		Kenya	Africa	B.1.1.7	Older	202111		"20I (Alpha, V1)"	Githinji et al BM					cazzo
USA/KY-CDC-LC0073370/2021	6/10/2021		6	USA	Homo sapiens	0.42	OK233128		Kentucky	North America	B.1.1.7	Older	202123		"20I (Alpha, V1)"	Howard et al EZ					cazzo
USA/SD-SDAIHG-1180/2021	5/4/2021		7	USA	Homo sapiens	0.46	ON704872		South Dakota	North America	B.1.1.7	Older	202118		"20I (Alpha, V1)"	Johnson et al E					cazzo
USA/IN-CDC-LC0069334/2021	6/1/2021		6	USA	Homo sapiens	0.42	OK234869		Indiana	North America	B.1.1.7	Older	202122		"20I (Alpha, V1)"	Howard et al FA					cazzo
USA/WV120557/2021	4/30/2021		7	USA	Homo sapiens	0.43	MZ499643		West Virginia	North America	B.1.1.7	Older	202117		"20I (Alpha, V1)"	Denvir et al G					cazzo
USA/WV120826/2021	5/6/2021		7	USA	Homo sapiens	0.42	MZ498643		West Virginia	North America	B.1.1.7	Older	202118		"20I (Alpha, V1)"	Denvir et al H					cazzo
ETH/S8/2021	2/4/2021		7	Ethiopia	Homo sapiens	0.39	OL840809		Addis Ababa	Africa	B.1.1.7	Older	202105		"20I (Alpha, V1)"	Bitew et al G					cazzo
USA/MA-CDCBI-CRSP_YQGOKWMSR7OL3TZW/2021	4/19/2021		6	USA	Homo sapiens	0.41	MZ053990		Massachusetts	North America	B.1.1.7	Older	202116		"20I (Alpha, V1)"	Lemieux et al S		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases		cazzo
USA/OR-QDX-26075326/2021	6/15/2021		6	USA	Homo sapiens	0.41	MZ530012		Oregon	North America	B.1.1.7	Older	202124		"20I (Alpha, V1)"	Howard et al FB		Quest Diagnostics Incorporated	CDC-OAMD		cazzo
USA/NM-CDC-QDX24603378/2021	5/5/2021		7	USA	Homo sapiens	0.41	MZ274551		New Mexico	North America	B.1.1.7	Older	202118		"20I (Alpha, V1)"	Howard et al FC					cazzo
OU471446	2/3/2021		6	Italy	Homo sapiens	0.43	OU471446		Friuli Venezia Giulia	Europe	B.1.1.7	Older	202105		"20I (Alpha, V1)"	Bazzocchi et al		ARGO Laboratorio Genomica ed Epigenomica	federica bazzocchi		cazzo
GHA/nmimr-SARS-CoV-2-NTRA-14997/2020	12/24/2020		7	Ghana	Homo sapiens	0.41	MW662157		Ghana	Africa	B.1.1.7	Older	202052		"20I (Alpha, V1)"	Adu et al H					cazzo
GHA/nmimr-SARS-CoV-2-NTRA-21-21261/2021	2/3/2021		6	Ghana	Homo sapiens	0.41	MZ150554		Ghana	Africa	B.1.1.7	Older	202105		"20I (Alpha, V1)"	Adu et al I					cazzo
GHA/nmimr-SARS-CoV-2-NTRA-21-25498/2021	2/9/2021		6	Ghana	Homo sapiens	0.41	MZ350127		Ghana	Africa	B.1.1.7	Older	202106		"20I (Alpha, V1)"	Adu et al J					cazzo
TGO/nmimr-TG-SARS-CoV-2-TGS-024-21/2021	1/15/2021		6	Togo	Homo sapiens	0.41	MZ149970		Togo	Africa	B.1.1.7	Older	202102		"20I (Alpha, V1)"	Halatoko et al F					cazzo
GHA/nmimr-SARS-CoV-2-NTRA-21-25779/2021	2/9/2021		6	Ghana	Homo sapiens	0.41	MZ350131		Ghana	Africa	B.1.1.7	Older	202106		"20I (Alpha, V1)"	Adu et al K					cazzo
GHA/WACCBIP_nCoV_GS160/2021	1/5/2021		6	Ghana	Homo sapiens	0.41	MW571158		Ghana	Africa	B.1.1.7	Older	202101		"20I (Alpha, V1)"	Morang'a et al A					cazzo
USA/NY-CDC-LC0065676/2021	5/26/2021		6	USA	Homo sapiens	0.41	MZ371314		New York	North America	B.1.1.7	Older	202121		"20I (Alpha, V1)"	Howard et al FD					cazzo
TGO/nmimr-TG-SARS-CoV-2-TGS-040-21/2021	1/12/2021		6	Togo	Homo sapiens	0.41	MZ149971		Togo	Africa	B.1.1.7	Older	202102		"20I (Alpha, V1)"	Halatoko et al G					cazzo
USA/TX-CDC-STM-000060385/2021	4/19/2021		6	USA	Homo sapiens	0.41	MZ153489		Texas	North America	B.1.1.7	Older	202116		"20I (Alpha, V1)"	Howard et al FE					cazzo
GHA/nmimr-SARS-CoV-2-NTRA-15362/2020	12/27/2020		6	Ghana	Homo sapiens	0.39	MW598431		Ghana	Africa	B.1.1.7	Older	202053		"20I (Alpha, V1)"	Adu et al L					cazzo
GHA/WACCBIP_nCoV_GS64/2021	1/6/2021		6	Ghana	Homo sapiens	0.41	MW571130		Ghana	Africa	B.1.1.7	Older	202101		"20I (Alpha, V1)"	Morang'a et al B					cazzo
USA/WA-S6783/2021	4/16/2021		6	USA	Homo sapiens	0.41	MZ144565		Washington	North America	B.1.1.7	Older	202115		"20I (Alpha, V1)"	Nickerson et al B		Northwest Laboratory	Seattle Flu Study submission group		cazzo
Switzerland/BL-ETHZ-590136/2021	4/22/2021		6	Switzerland	Homo sapiens	0.42	OU171432		Basel-Land	Europe	B.1.1.7	Older	202116		"20I (Alpha, V1)"	? AR		"Department of Biosystems Science and Engineering, ETH Zürich,Mattenstrasse 26, 4058 Basel, Switzerland"	ETH ZURICH D-BSSE		cazzo
USA/VA-CDC-LC0072625/2021	6/10/2021		6	USA	Homo sapiens	0.45	OK232680		Virginia	North America	B.1.1.7	Older	202123		"20I (Alpha, V1)"	Howard et al FF					cazzo
GAB/4859_Gabon/2021	4/14/2021		6	Gabon	Homo sapiens	0.41	OM732089		Gabon	Africa	B.1.1.7	Older	202115		"20I (Alpha, V1)"	Lekana-Douki et al AJ					cazzo
USA/UT-UPHL-210729910401/2021	4/13/2021		6	USA	Homo sapiens	0.39	MZ746611		Utah	North America	B.1.1.7	Older	202115		"20I (Alpha, V1)"	Linares-Perdomo et al		Utah Public Health Laboratory	Utah Public Health Laboratory Infectious Disease submission group		cazzo
NGA/BCVL-18458/2021	1/8/2021		6	Nigeria	Homo sapiens	0.43	OL601600		Oyo State	Africa	B.1.1.7	Older	202101		"20I (Alpha, V1)"	Lorenzo-Redondo et al AE					cazzo
PAK/JRCGR_SCV-92_MARDAN-03/2021	3/7/2021		6	Pakistan	Homo sapiens	0.42	MZ328038		Pakistan	Asia	B.1.1.7	Older	202110		"20I (Alpha, V1)"	Irfan et al E					cazzo
USA/CO-CDC-FG-025757/2021	4/13/2021		6	USA	Homo sapiens	0.49	MZ077690		Colorado	North America	B.1.1.7	Older	202115		"20I (Alpha, V1)"	Howard et al FG					cazzo
PRI/PR-UPRRP-3029/2021	4/27/2021		6	USA	Homo sapiens	0.42	ON065359		Puerto Rico	North America	B.1.1.7	Older	202117		"20I (Alpha, V1)"	Van Belleghem et al B					cazzo
USA/ME-CDC-QDX24981091/2021	5/11/2021		6	USA	Homo sapiens	0.45	OK248880		Maine	North America	B.1.1.7	Older	202119		"20I (Alpha, V1)"	Howard et al FH					cazzo
USA/MA-CDC-QDX25089062/2021	5/18/2021		6	USA	Homo sapiens	0.43	MZ390663		Massachusetts	North America	B.1.1.7	Older	202120		"20I (Alpha, V1)"	Howard et al FI					cazzo
USA/NH-CDC-ASC210053754/2021	4/9/2021		6	USA	Homo sapiens	0.43	MZ084886		New Hampshire	North America	B.1.1.7	Older	202114		"20I (Alpha, V1)"	Howard et al FJ					cazzo
USA/RI-CDCBI-RIDOH_02378/2021	5/3/2021		6	USA	Homo sapiens	0.37	MZ268271		Rhode Island	North America	B.1.1.7	Older	202118		"20I (Alpha, V1)"	Lemieux et al T		Rhode Island Department of Health	Broad Institute Genomic Center for Infectious Diseases		cazzo
USA/VI-CDC-2-4420259/2021	4/22/2021		6	USA	Homo sapiens	0.42	MZ331314		Virgin Islands	North America	B.1.1.7	Older	202116		"20I (Alpha, V1)"	Sheth et al AE					cazzo
USA/52458232DAN/2021	5/3/2021		5	USA	Homo sapiens	0.39	ON030875		South Carolina	North America	B.1.1.7	Older	202118		"20I (Alpha, V1)"	Wilson et al					cazzo
USA/NY-CDC-LC0078883/2021	6/14/2021		7	USA	Homo sapiens	0.47	MZ530864		New York	North America	B.1.1.7	Older	202124		"20I (Alpha, V1)"	Howard et al FK		Laboratory Corporation of America	CDC-OAMD		cazzo
USA/AL-CDC-FG-036426/2021	5/25/2021		6	USA	Homo sapiens	0.44	OK215026		Alabama	North America	B.1.1.7	Older	202121		"20I (Alpha, V1)"	Howard et al FL					cazzo
USA/MN-CDC-IBX071961454923/2021	4/22/2021		7	USA	Homo sapiens	0.44	MZ193852		Minnesota	North America	B.1.1.7	Older	202116		"20I (Alpha, V1)"	Howard et al FM					cazzo
USA/NMDOH-2021108533/2021	4/28/2021		6	USA	Homo sapiens	0.45	MZ329270		New Mexico	North America	B.1.1.7	Older	202117		"20I (Alpha, V1)"	Johnson et al F		New Mexico Department of Health Scientific Laboratory	New Mexico Department of Health Scientific Laboratory		cazzo
USA/AL-UAB-GX323/2021	5/22/2021		6	USA	Homo sapiens	0.45	MZ512398		Alabama	North America	B.1.1.7	Older	202120		"20I (Alpha, V1)"	Moates et al B					cazzo
USA/LA-BIE-LSUH001234/2021	7/16/2021		4	USA	Homo sapiens	0.38	MZ637356		Louisiana	North America	B.1.1.7	Older	202128		"20I (Alpha, V1)"	Crabtree et al C					cazzo
USA/LA-CDC-LC0060307/2021	5/18/2021		6	USA	Homo sapiens	0.43	OK234750		Louisiana	North America	B.1.1.7	Older	202120		"20I (Alpha, V1)"	Howard et al FN					cazzo
USA/NY-CDC-LC0078281/2021	6/16/2021		6	USA	Homo sapiens	0.45	MZ531329		New York	North America	B.1.1.7	Older	202124		"20I (Alpha, V1)"	Howard et al FO		Laboratory Corporation of America	CDC-OAMD		cazzo
USA/TN-CDC-ASC210106907/2021	6/3/2021		7	USA	Homo sapiens	0.44	MZ386361		Tennessee	North America	B.1.1.7	Older	202122		"20I (Alpha, V1)"	Howard et al FP					cazzo
PRY/WOR12903A604_202103307_2-4710515/2021	5/3/2021		6	Paraguay	Homo sapiens	0.45	ON017177		Paraguay	South America	B.1.1.7	Older	202118		"20I (Alpha, V1)"	Vazquez et al CK					cazzo
USA/TX-CDC-QDX25576103/2021	6/4/2021		6	USA	Homo sapiens	0.45	MZ410166		Texas	North America	B.1.1.7	Older	202122		"20I (Alpha, V1)"	Howard et al FQ					cazzo
UZB/hCoV-19-Uzb-CGB-12/2020	10/14/2020		2	Uzbekistan	Homo sapiens	0.08	MW853566		Tashkent	Asia	B.1.1	Older	202042		20B	Ayubov et al C					cazzo
USA/WA-CDC-UW21123088254/2021	12/30/2021		28	USA	Homo sapiens	1.87	OM269374		Washington	North America	BA.1	Older	202152		21K (Omicron)	Howard et al FR		UW Virology Lab	CDC-OAMD		cazzo
PER/LSP1297/2022	1/12/2022		27	Peru	Homo sapiens	1.9	ON183279		Peru	South America	BA.1.1	Older	202202		21K (Omicron)	Kosek et al A					cazzo
USA/OSPHL04769/2022	1/25/2022		26	USA	Homo sapiens	1.86	OM654349		Oregon	North America	BA.1	Older	202204		21K (Omicron)	Razzaque et al B					cazzo
MWI/MLW000855/2021	12/24/2021		27	Malawi	Homo sapiens	1.9	ON100004		Malawi	Africa	BA.1.14.2	Older	202151		21K (Omicron)	Feasey et al M					cazzo
USA/V02360/2022	1/4/2022		27	USA	Homo sapiens	1.96	ON831790		Arkansas	North America	BA.1.15	Older	202201		21K (Omicron)	Kandel et al B		University of Arkansas for Medical Sciences	University of Arkansas Medical Sciences/Arkansas Children's Hospital		cazzo
USA/TX-CDC-FG-273103/2022	2/7/2022		29	USA	Homo sapiens	1.94	OM762479		Texas	North America	BA.1.15.2	Older	202206		21K (Omicron)	Howard et al FS		Fulgent Genetics	CDC-OAMD		cazzo
RUS/Otradnoe/2022	1/25/2022		22	Russia	Homo sapiens	1.87	ON032857		Moscow Oblast	Europe	BA.1.15	Older	202204		21K (Omicron)	Faizuloev et al C					cazzo
BRA/CEC-1001-051/2022	1/10/2022		22	Brazil	Homo sapiens	1.8	ON241689		Rio de Janeiro	South America	BA.1.15	Older	202202		21K (Omicron)	Souza et al K					cazzo
Argentina/UW21123117761/2021	12/31/2021		27	Argentina	Homo sapiens	1.94	OP012885		Argentina	South America	BA.1.15	Older	202152		21K (Omicron)	Roychoudhury et al AG					cazzo
Argentina/UW22010605739/2022	1/6/2022		27	Argentina	Homo sapiens	1.92	ON908360		Argentina	South America	BA.1.15	Older	202201		21K (Omicron)	Roychoudhury et al AH					cazzo
